summary,description,priority_name,issuetype_name,project_key,project_category_name,summary_char_count,summary_word_count,description_char_count,description_word_count,has_description,labels_count,has_assignee,votes_votes,watches_watch_count,created,resolutiondate
"Disable EHCache ""phone home"" on startup","During startup EHCache does a check if the latest version is being used and sends more data than necessary. See http://martijndashorst.com/blog/2011/02/21/ehcache-and-quartz-phone-home-during-startup/ This can be disabled by changing ehcacheConfig.xml: <ehcache xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:noNamespaceSchemaLocation=""ehcache.xsd""> into <ehcache xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:noNamespaceSchemaLocation=""ehcache.xsd"" updateCheck=""false"">",Trivial,Wish,SHINDIG,Shindig,39,6,493,36,1,0,0,0.0,0.0,2011-09-08 08:23:12,2011-09-08 08:46:00
authz plugin can no longer override conf file policy,"If enabled, the authz plugin should be allowed to defined the valid sources and targets for a given connection and this should take precedence over anything in the policy file (which may still be used for quotas). This was (I believe) an unintentional regression by https://github.com/apache/qpid-dispatch/commit/dc981ecc6cf31d8c605e84703a589553281281c2#diff-adc0a0fef2880417cb24cb072363fc29 which reverted the necessary change made in https://github.com/apache/qpid-dispatch/commit/eed8bb65497b23e512072f5ea9fefd8ed73921ef#diff-adc0a0fef2880417cb24cb072363fc29",Major,Bug,DISPATCH,Qpid,52,9,561,54,1,0,1,0.0,2.0,2018-10-18 23:30:59,2018-10-18 23:37:02
Add single argument support for to_timestamp in SQL,"Currently, it looks we can omit the timestamp format as below: {code} import org.apache.spark.sql.functions._ Seq(""2016-12-31 00:12:00.00"").toDF(""a"").select(to_timestamp(col(""a""))).show() {code} {code} +----------------------------------------+ |to_timestamp(`a`, 'yyyy-MM-dd HH:mm:ss')| +----------------------------------------+ | 2016-12-31 00:12:00| +----------------------------------------+ {code} whereas this does not work in SQL as below: {code} spark-sql> SELECT to_timestamp('2016-12-31 00:12:00.00'); Error in query: Invalid number of arguments for function to_timestamp; line 1 pos 7 {code} It looks we could support this too. For {{to_date}}, it looks already working in SQL as well as other language APIs. {code} scala> Seq(""2016-12-31"").toDF(""a"").select(to_date(col(""a""))).show() +----------+ |to_date(a)| +----------+ |2016-12-31| +----------+ {code} {code} spark-sql> SELECT to_date('2016-12-31'); 2016-12-31 {code}",Minor,Improvement,SPARK,Unknown,51,8,933,93,1,0,1,0.0,3.0,2017-05-08 19:12:22,2017-05-12 10:44:14
Make SessionProvider pluggable in JCRWebdavServerServlet,"Although there's a SessionProvider interface in o.a.j.server, the SessionProviderImpl implementation class is hard-coded into JCRWebdavServerServlet.",Major,Improvement,JCR,Jackrabbit,56,5,149,15,1,0,1,0.0,0.0,2010-09-01 15:28:36,2010-09-17 12:16:54
Create OSGi bundle for azure-messaging-eventhubs 5.6.0,,Major,Task,SM,ServiceMix,54,6,0,0,0,0,1,0.0,1.0,2021-03-25 10:32:44,2021-03-28 13:58:58
"Translate ""Improving the Website"" page into Chinese","Translate ""Improving the Website"" page into Chinese. The markdown file is located in: flink-web/improve-website.zh.md The url link is: https://flink.apache.org/zh/improve-website.html Please adjust the links in the page to Chinese pages when translating.",Major,Sub-task,FLINK,Flink,51,7,254,31,1,1,1,0.0,1.0,2019-02-08 17:12:20,2019-03-04 16:45:13
Right Hash Join with empty Left table ruturns 0 result,"Drill returns no results on the right Hash Join if the probe(left) table is empty. The simplest way to reproduce the issue: 1.To force Drill not to use merge join and use the hash join operator instead: {code:java} alter session set planner.enable_mergejoin = false; alter session set planner.enable_nestedloopjoin= false; {code} 2. Disable join order optimization to prevent Drill from flipping join tables: {code:java} alter session set planner.enable_join_optimization = false; {code} 3. Execute a query with empty left table outcome: {code:java} SELECT * FROM (SELECT * FROM (VALUES (1, 'Max', 28), (2, 'Jane', 32), (3, 'Saymon', 29) ) AS users(id, name, age) WHERE false ) AS users RIGHT JOIN (VALUES (1, 'Engineer'), (2, 'Doctor'), (3, 'Teacher') ) AS job(id, title) ON users.id = job.id {code} Expected result is: ||id||name||age||id0||title|| |null|null|null|1|Engineer| |null|null|null|2|Doctor| |null|null|null|3|Teacher| But we get 0 rows.",Major,Bug,DRILL,Drill,54,10,950,136,1,0,1,0.0,2.0,2024-10-14 14:25:12,2024-10-21 11:24:14
AbstractMethodError in bundlerepository due to wrong import range.,"Bundle org.apache.felix.bundlerepository imports package {{org.osgi.service.repository}} using the range {{[1.0,2.0)}}. This is incorrect because it is a provider of that contract, so the range should be {{[1.0,1.1)}}. At runtime this leads to AbstractMethodError because a client could wire to version 1.1 of the API and try to call one of the new methods such as {{Repository.newRequirementBuilder()}}, which is not implemented by Felix: {noformat} java.lang.AbstractMethodError: org.apache.felix.bundlerepository.impl.OSGiRepositoryImpl.newRequirementBuilder(Ljava/lang/String;)Lorg/osgi/service/repository/RequirementBuilder; {noformat} Affects version: 2.0.8 (not available in the JIRA dropdown for some reason).",Major,Bug,FELIX,Felix,66,8,717,77,1,0,1,0.0,2.0,2016-11-02 11:39:18,2016-11-16 15:15:27
Add a mock based test for ServiceTracker,As the test for ServiceTracker is similar to bundle tracker I also created it.,Major,Test,FELIX,Felix,40,7,78,14,1,0,1,0.0,2.0,2015-10-22 14:53:03,2015-12-09 14:52:25
Editorial Review,Editorial Review,Major,Improvement,AXIS2,Axis,16,2,16,2,1,0,0,0.0,0.0,2006-11-06 10:30:26,2006-11-07 07:18:54
"FormItem children overlap when specifying width, height and direction=""horizontal""","Steps to reproduce: Run the attached application, in which FormItem container specifies width, height and direction=""horizontal"". Actual Results: FormItem children overlap. (They don't line correctly.) Expected Results: FormItem children line horizontally. It works with SDK 2.0.1. Workaround: 1: Use HBox instead of direction=""horizontal"". 2: Specify direction='horizontal' only. (Don't specify width and height.)",Minor,Bug,FLEX,Flex,82,9,414,52,1,0,1,0.0,0.0,2009-01-16 01:41:52,2009-03-30 12:28:39
MVCC: invokeAll may hangs on unstable topology.,Test IgniteCacheEntryProcessorNodeJoinTest.testEntryProcessorNodeLeave() hangs with TRANSACTIONAL_SNAPSHOT cache mode.,Major,Bug,IGNITE,Ignite,47,7,118,7,1,1,1,0.0,2.0,2018-11-14 16:07:58,2019-01-11 15:03:28
field projection with namespace,"`AvroProjectionConverter` currently ignores extract namespace to identify fields to remove for a table. The change is to identify fields to remove with namespace into account, configurable.",Major,Task,GOBBLIN,Gobblin,31,4,189,26,1,0,1,0.0,1.0,2020-02-29 02:38:31,2020-03-02 18:34:02
nodetool repair -pr on all nodes won't repair the full range when a Keyspace isn't in all DC's,"nodetool repair -pr on all nodes won't repair the full range when a Keyspace isn't in all DC's Commands follow, but the TL;DR of it, range (127605887595351923798765477786913079296,0] doesn't get repaired between .38 node and .236 node until I run a repair, no -pr, on .38 It seems like primary arnge calculation doesn't take schema into account, but deciding who to ask for merkle tree's from does. {noformat} Address DC Rack Status State Load Owns Token 127605887595351923798765477786913079296 10.72.111.225 Cassandra rack1 Up Normal 455.87 KB 25.00% 0 10.2.29.38 Analytics rack1 Up Normal 40.74 MB 25.00% 42535295865117307932921825928971026432 10.46.113.236 Analytics rack1 Up Normal 20.65 MB 50.00% 127605887595351923798765477786913079296 create keyspace Keyspace1 with placement_strategy = 'NetworkTopologyStrategy' and strategy_options = {Analytics : 2} and durable_writes = true; ------- # nodetool -h 10.2.29.38 repair -pr Keyspace1 Standard1 [2013-04-03 15:46:58,000] Starting repair command #1, repairing 1 ranges for keyspace Keyspace1 [2013-04-03 15:47:00,881] Repair session b79b4850-9c75-11e2-0000-8b5bf6ebea9e for range (0,42535295865117307932921825928971026432] finished [2013-04-03 15:47:00,881] Repair command #1 finished root@ip-10-2-29-38:/home/ubuntu# grep b79b4850-9c75-11e2-0000-8b5bf6ebea9e /var/log/cassandra/system.log INFO [AntiEntropySessions:1] 2013-04-03 15:46:58,009 AntiEntropyService.java (line 676) [repair #b79b4850-9c75-11e2-0000-8b5bf6ebea9e] new session: will sync a1/10.2.29.38, /10.46.113.236 on range (0,42535295865117307932921825928971026432] for Keyspace1.[Standard1] INFO [AntiEntropySessions:1] 2013-04-03 15:46:58,015 AntiEntropyService.java (line 881) [repair #b79b4850-9c75-11e2-0000-8b5bf6ebea9e] requesting merkle trees for Standard1 (to [/10.46.113.236, a1/10.2.29.38]) INFO [AntiEntropyStage:1] 2013-04-03 15:47:00,202 AntiEntropyService.java (line 211) [repair #b79b4850-9c75-11e2-0000-8b5bf6ebea9e] Received merkle tree for Standard1 from /10.46.113.236 INFO [AntiEntropyStage:1] 2013-04-03 15:47:00,697 AntiEntropyService.java (line 211) [repair #b79b4850-9c75-11e2-0000-8b5bf6ebea9e] Received merkle tree for Standard1 from a1/10.2.29.38 INFO [AntiEntropyStage:1] 2013-04-03 15:47:00,879 AntiEntropyService.java (line 1015) [repair #b79b4850-9c75-11e2-0000-8b5bf6ebea9e] Endpoints /10.46.113.236 and a1/10.2.29.38 are consistent for Standard1 INFO [AntiEntropyStage:1] 2013-04-03 15:47:00,880 AntiEntropyService.java (line 788) [repair #b79b4850-9c75-11e2-0000-8b5bf6ebea9e] Standard1 is fully synced INFO [AntiEntropySessions:1] 2013-04-03 15:47:00,880 AntiEntropyService.java (line 722) [repair #b79b4850-9c75-11e2-0000-8b5bf6ebea9e] session completed successfully root@ip-10-46-113-236:/home/ubuntu# grep b79b4850-9c75-11e2-0000-8b5bf6ebea9e /var/log/cassandra/system.log INFO [AntiEntropyStage:1] 2013-04-03 15:46:59,944 AntiEntropyService.java (line 244) [repair #b79b4850-9c75-11e2-0000-8b5bf6ebea9e] Sending completed merkle tree to /10.2.29.38 for (Keyspace1,Standard1) root@ip-10-72-111-225:/home/ubuntu# grep b79b4850-9c75-11e2-0000-8b5bf6ebea9e /var/log/cassandra/system.log root@ip-10-72-111-225:/home/ubuntu# ------- # nodetool -h 10.46.113.236 repair -pr Keyspace1 Standard1 [2013-04-03 15:48:00,274] Starting repair command #1, repairing 1 ranges for keyspace Keyspace1 [2013-04-03 15:48:02,032] Repair session dcb91540-9c75-11e2-0000-a839ee2ccbef for range (42535295865117307932921825928971026432,127605887595351923798765477786913079296] finished [2013-04-03 15:48:02,033] Repair command #1 finished root@ip-10-46-113-236:/home/ubuntu# grep dcb91540-9c75-11e2-0000-a839ee2ccbef /var/log/cassandra/system.log INFO [AntiEntropySessions:5] 2013-04-03 15:48:00,280 AntiEntropyService.java (line 676) [repair #dcb91540-9c75-11e2-0000-a839ee2ccbef] new session: will sync a0/10.46.113.236, /10.2.29.38 on range (42535295865117307932921825928971026432,127605887595351923798765477786913079296] for Keyspace1.[Standard1] INFO [AntiEntropySessions:5] 2013-04-03 15:48:00,285 AntiEntropyService.java (line 881) [repair #dcb91540-9c75-11e2-0000-a839ee2ccbef] requesting merkle trees for Standard1 (to [/10.2.29.38, a0/10.46.113.236]) INFO [AntiEntropyStage:1] 2013-04-03 15:48:01,710 AntiEntropyService.java (line 211) [repair #dcb91540-9c75-11e2-0000-a839ee2ccbef] Received merkle tree for Standard1 from a0/10.46.113.236 INFO [AntiEntropyStage:1] 2013-04-03 15:48:01,943 AntiEntropyService.java (line 211) [repair #dcb91540-9c75-11e2-0000-a839ee2ccbef] Received merkle tree for Standard1 from /10.2.29.38 INFO [AntiEntropyStage:1] 2013-04-03 15:48:02,031 AntiEntropyService.java (line 1015) [repair #dcb91540-9c75-11e2-0000-a839ee2ccbef] Endpoints a0/10.46.113.236 and /10.2.29.38 are consistent for Standard1 INFO [AntiEntropyStage:1] 2013-04-03 15:48:02,032 AntiEntropyService.java (line 788) [repair #dcb91540-9c75-11e2-0000-a839ee2ccbef] Standard1 is fully synced INFO [AntiEntropySessions:5] 2013-04-03 15:48:02,032 AntiEntropyService.java (line 722) [repair #dcb91540-9c75-11e2-0000-a839ee2ccbef] session completed successfully root@ip-10-2-29-38:/home/ubuntu# grep dcb91540-9c75-11e2-0000-a839ee2ccbef /var/log/cassandra/system.log INFO [AntiEntropyStage:1] 2013-04-03 15:48:01,898 AntiEntropyService.java (line 244) [repair #dcb91540-9c75-11e2-0000-a839ee2ccbef] Sending completed merkle tree to /10.46.113.236 for (Keyspace1,Standard1) root@ip-10-72-111-225:/home/ubuntu# grep dcb91540-9c75-11e2-0000-a839ee2ccbef /var/log/cassandra/system.log root@ip-10-72-111-225:/home/ubuntu# ------- # nodetool -h 10.72.111.225 repair -pr Keyspace1 Standard1 [2013-04-03 15:48:30,417] Starting repair command #1, repairing 1 ranges for keyspace Keyspace1 [2013-04-03 15:48:30,428] Repair session eeb12670-9c75-11e2-0000-316d6fba2dbf for range (127605887595351923798765477786913079296,0] finished [2013-04-03 15:48:30,428] Repair command #1 finished root@ip-10-72-111-225:/home/ubuntu# grep eeb12670-9c75-11e2-0000-316d6fba2dbf /var/log/cassandra/system.log INFO [AntiEntropySessions:1] 2013-04-03 15:48:30,427 AntiEntropyService.java (line 676) [repair #eeb12670-9c75-11e2-0000-316d6fba2dbf] new session: will sync /10.72.111.225 on range (127605887595351923798765477786913079296,0] for Keyspace1.[Standard1] INFO [AntiEntropySessions:1] 2013-04-03 15:48:30,428 AntiEntropyService.java (line 681) [repair #eeb12670-9c75-11e2-0000-316d6fba2dbf] No neighbors to repair with on range (127605887595351923798765477786913079296,0]: session completed root@ip-10-46-113-236:/home/ubuntu# grep eeb12670-9c75-11e2-0000-316d6fba2dbf /var/log/cassandra/system.log root@ip-10-46-113-236:/home/ubuntu# root@ip-10-2-29-38:/home/ubuntu# grep eeb12670-9c75-11e2-0000-316d6fba2dbf /var/log/cassandra/system.log root@ip-10-2-29-38:/home/ubuntu# --- root@ip-10-2-29-38:/home/ubuntu# nodetool -h 10.2.29.38 repair Keyspace1 Standard1 [2013-04-03 16:13:28,674] Starting repair command #2, repairing 3 ranges for keyspace Keyspace1 [2013-04-03 16:13:31,786] Repair session 6bb81c20-9c79-11e2-0000-8b5bf6ebea9e for range (42535295865117307932921825928971026432,127605887595351923798765477786913079296] finished [2013-04-03 16:13:31,786] Repair session 6cb05ed0-9c79-11e2-0000-8b5bf6ebea9e for range (0,42535295865117307932921825928971026432] finished [2013-04-03 16:13:31,806] Repair session 6d24a470-9c79-11e2-0000-8b5bf6ebea9e for range (127605887595351923798765477786913079296,0] finished [2013-04-03 16:13:31,807] Repair command #2 finished root@ip-10-2-29-38:/home/ubuntu# grep 6d24a470-9c79-11e2-0000-8b5bf6ebea9e /var/log/cassandra/system.log INFO [AntiEntropySessions:7] 2013-04-03 16:13:31,065 AntiEntropyService.java (line 676) [repair #6d24a470-9c79-11e2-0000-8b5bf6ebea9e] new session: will sync a1/10.2.29.38, /10.46.113.236 on range (127605887595351923798765477786913079296,0] for Keyspace1.[Standard1] INFO [AntiEntropySessions:7] 2013-04-03 16:13:31,065 AntiEntropyService.java (line 881) [repair #6d24a470-9c79-11e2-0000-8b5bf6ebea9e] requesting merkle trees for Standard1 (to [/10.46.113.236, a1/10.2.29.38]) INFO [AntiEntropyStage:1] 2013-04-03 16:13:31,751 AntiEntropyService.java (line 211) [repair #6d24a470-9c79-11e2-0000-8b5bf6ebea9e] Received merkle tree for Standard1 from /10.46.113.236 INFO [AntiEntropyStage:1] 2013-04-03 16:13:31,785 AntiEntropyService.java (line 211) [repair #6d24a470-9c79-11e2-0000-8b5bf6ebea9e] Received merkle tree for Standard1 from a1/10.2.29.38 INFO [AntiEntropyStage:1] 2013-04-03 16:13:31,805 AntiEntropyService.java (line 1015) [repair #6d24a470-9c79-11e2-0000-8b5bf6ebea9e] Endpoints /10.46.113.236 and a1/10.2.29.38 are consistent for Standard1 INFO [AntiEntropyStage:1] 2013-04-03 16:13:31,806 AntiEntropyService.java (line 788) [repair #6d24a470-9c79-11e2-0000-8b5bf6ebea9e] Standard1 is fully synced INFO [AntiEntropySessions:7] 2013-04-03 16:13:31,806 AntiEntropyService.java (line 722) [repair #6d24a470-9c79-11e2-0000-8b5bf6ebea9e] session completed successfully root@ip-10-46-113-236:/home/ubuntu# grep 6d24a470-9c79-11e2-0000-8b5bf6ebea9e /var/log/cassandra/system.log INFO [AntiEntropyStage:1] 2013-04-03 16:13:31,665 AntiEntropyService.java (line 244) [repair #6d24a470-9c79-11e2-0000-8b5bf6ebea9e] Sending completed merkle tree to /10.2.29.38 for (Keyspace1,Standard1) {noformat}",Urgent,Bug,CASSANDRA,Cassandra,94,18,9284,752,1,0,1,0.0,4.0,2013-04-03 18:58:15,2013-04-19 23:34:01
